property_id,builder_id,builder_name,project_name,property_interest,bedroom_count,location,price,status,amenities,builder_phone,builder_email,note
KOL-0001,BLD-001,ABC Developers,Green Heights,Apartment,2,New Town Kolkata,5500000,available,Metro;Gym;Pool,+919876543210,[sales@abcdev.com](mailto:sales@abcdev.com),Near metro station
KOL-0002,BLD-001,ABC Developers,Green Heights Phase 2,Apartment,3,New Town Kolkata,7200000,available,Gym;Pool;Clubhouse,+919876543210,[sales@abcdev.com](mailto:sales@abcdev.com),IT hub nearby
KOL-0003,BLD-002,Shanti Builders,Lake View Residency,Apartment,2,Salt Lake Kolkata,6800000,available,Gym;Security,+919812345678,[info@shanti.com](mailto:info@shanti.com),Premium locality
KOL-0004,BLD-002,Shanti Builders,Lake View Residency,Apartment,3,Salt Lake Kolkata,9200000,available,Gym;Clubhouse,+919812345678,[info@shanti.com](mailto:info@shanti.com),Ready to move
KOL-0005,BLD-003,Eden Realty,Royal Villas,Villa,4,Rajarhat Kolkata,18000000,available,Garden;Parking,+919900112233,[sales@eden.com](mailto:sales@eden.com),Independent villa
KOL-0006,BLD-003,Eden Realty,Royal Villas,Villa,5,Rajarhat Kolkata,24000000,available,Garden;Pool,+919900112233,[sales@eden.com](mailto:sales@eden.com),Luxury segment
KOL-0007,BLD-004,Urban Homes,Skyline Towers,Apartment,1,Dum Dum Kolkata,4200000,available,Metro;Parking,+919845612378,[contact@urbanhomes.com](mailto:contact@urbanhomes.com),Airport connectivity
KOL-0008,BLD-004,Urban Homes,Skyline Towers,Apartment,2,Dum Dum Kolkata,5100000,available,Metro;Security,+919845612378,[contact@urbanhomes.com](mailto:contact@urbanhomes.com),Family friendly
KOL-0009,BLD-005,Metro Living,Metro Residency,Apartment,2,Garia Kolkata,4500000,available,Metro;Gym,+919811111111,[info@metroliving.com](mailto:info@metroliving.com),Affordable property
KOL-0010,BLD-005,Metro Living,Metro Residency,Apartment,3,Garia Kolkata,6100000,available,Metro;Clubhouse,+919811111111,[info@metroliving.com](mailto:info@metroliving.com),Near schools
KOL-0011,BLD-006,Future Infra,Future Enclave,Apartment,2,Barasat Kolkata,3800000,available,Security,+919822222222,[sales@futureinfra.com](mailto:sales@futureinfra.com),Budget home
KOL-0012,BLD-006,Future Infra,Future Enclave,Apartment,3,Barasat Kolkata,5400000,available,Clubhouse,+919822222222,[sales@futureinfra.com](mailto:sales@futureinfra.com),Growing locality
KOL-0013,BLD-007,Prime Realty,Prime Heights,Apartment,2,Howrah Kolkata,5000000,available,Gym;Parking,+919833333333,[contact@primerealty.com](mailto:contact@primerealty.com),Railway access
KOL-0014,BLD-007,Prime Realty,Prime Heights,Apartment,3,Howrah Kolkata,6900000,available,Gym;Security,+919833333333,[contact@primerealty.com](mailto:contact@primerealty.com),Good connectivity
